Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Company Size,Job Title,Role,Company,Min_experience,Max_experience,Average_experience,Average_Salary
1468492446729552,4 to 12 Years,BBA,$55K-$116K,"Washington, D.C.",USA,37,-95,48548,Account Executive,Sales Account Executive,Segro,4,12,8.0,85500
931831084768523,1 to 8 Years,MBA,$61K-$93K,"Washington, D.C.",USA,37,-95,14317,Environmental Consultant,Environmental Impact Analyst,Computacenter,1,8,4.5,77000
1125406216107126,2 to 9 Years,M.Com,$58K-$114K,"Washington, D.C.",USA,37,-95,120875,Graphic Designer,Print Graphic Designer,Texas Instruments,2,9,5.5,86000
2457230316881162,1 to 13 Years,BBA,$63K-$93K,"Washington, D.C.",USA,37,-95,90058,Front-End Developer,UI/UX Developer,Block,1,13,7.0,78000
2007329903638041,2 to 13 Years,B.Tech,$61K-$129K,"Washington, D.C.",USA,37,-95,33365,QA Analyst,Automation Test Engineer,Yum China Holdings,2,13,7.5,95000
832530609029853,0 to 8 Years,BBA,$64K-$130K,"Washington, D.C.",USA,37,-95,91647,Investment Banker,Investment Portfolio Manager,Delta Air Lines,0,8,4.0,97000
557934635205975,5 to 13 Years,BCA,$65K-$112K,"Washington, D.C.",USA,37,-95,106454,Account Manager,Sales Account Manager,Bayerische Motoren Werke AG (BMW),5,13,9.0,88500
2949962336228399,0 to 12 Years,MBA,$57K-$126K,"Washington, D.C.",USA,37,-95,34275,Account Manager,Sales Account Manager,Victrex,0,12,6.0,91500
1520696362742904,5 to 13 Years,MCA,$63K-$112K,"Washington, D.C.",USA,37,-95,124809,UX/UI Designer,User Experience Designer,V-Guard Industries,5,13,9.0,87500
2377938465765393,4 to 14 Years,MCA,$55K-$111K,"Washington, D.C.",USA,37,-95,93048,Chemical Analyst,Quality Control Analyst,Hyatt Hotels Corporation,4,14,9.0,83000
2198229665138133,0 to 11 Years,M.Tech,$57K-$99K,"Washington, D.C.",USA,37,-95,13422,Electrical Designer,Lighting Designer,Sinopec,0,11,5.5,78000
370619800181691,0 to 12 Years,BCA,$55K-$120K,"Washington, D.C.",USA,37,-95,122439,Account Manager,Client Relationship Manager,Diamondback Energy,0,12,6.0,87500
1524398724785190,0 to 12 Years,B.Com,$55K-$100K,"Washington, D.C.",USA,37,-95,25906,UX Researcher,UX Strategist,"The Vanguard Group, Inc.",0,12,6.0,77500
278109185318665,0 to 15 Years,MCA,$55K-$98K,"Washington, D.C.",USA,37,-95,62805,Process Engineer,Industrial Engineer,Ovintiv,0,15,7.5,76500
1954454812022226,3 to 13 Years,M.Tech,$56K-$94K,"Washington, D.C.",USA,37,-95,108442,Substance Abuse Counselor,Family Counselor,"The Vanguard Group, Inc.",3,13,8.0,75000
1796273236199302,4 to 9 Years,MCA,$61K-$88K,"Washington, D.C.",USA,37,-95,77004,Social Media Coordinator,Content Creator,Global Partners,4,9,6.5,74500
186004272172640,4 to 8 Years,M.Tech,$64K-$128K,"Washington, D.C.",USA,37,-95,47114,Investment Banker,Financial Analyst,Scottish Mortgage Investment Trust,4,8,6.0,96000
121622372713390,0 to 15 Years,BA,$59K-$84K,"Washington, D.C.",USA,37,-95,20297,Email Marketing Specialist,Deliverability Analyst,China COSCO Shipping Corporation,0,15,7.5,71500
3073005423993412,2 to 13 Years,BA,$57K-$95K,"Washington, D.C.",USA,37,-95,14984,Quality Assurance Analyst,Test Automation Engineer,Henry Schein,2,13,7.5,76000
2752082373572681,4 to 12 Years,BBA,$60K-$126K,"Washington, D.C.",USA,37,-95,40486,UX/UI Designer,User Experience Designer,Fuchs Petrolub SE,4,12,8.0,93000
1461434431794388,1 to 14 Years,PhD,$62K-$130K,"Washington, D.C.",USA,37,-95,133001,Teacher,Subject Matter Expert,Hochschild Mining,1,14,7.5,96000
1876195944013058,5 to 10 Years,BBA,$58K-$92K,"Washington, D.C.",USA,37,-95,102118,Customer Service Manager,Service Quality Assurance Manager,CarMax,5,10,7.5,75000
519349860726579,1 to 14 Years,PhD,$60K-$103K,"Washington, D.C.",USA,37,-95,92089,Environmental Engineer,Environmental Consultant,Airtel Africa,1,14,7.5,81500
796710235395850,5 to 14 Years,MCA,$58K-$106K,"Washington, D.C.",USA,37,-95,126574,Landscape Architect,Urban Planner,Synchrony Financial,5,14,9.5,82000
967023197335462,4 to 9 Years,M.Com,$56K-$89K,"Washington, D.C.",USA,37,-95,129344,Legal Assistant,Litigation Support Specialist,Packaging Corp. of America,4,9,6.5,72500
109008529219326,4 to 8 Years,PhD,$63K-$110K,"Washington, D.C.",USA,37,-95,116521,Event Planner,Event Coordinator,General Electric,4,8,6.0,86500
573924714228728,5 to 9 Years,MBA,$64K-$82K,"Washington, D.C.",USA,37,-95,61408,Teacher,Special Education Teacher,Xcel Energy,5,9,7.0,73000
1723774199690217,4 to 8 Years,M.Com,$59K-$114K,"Washington, D.C.",USA,37,-95,115990,Finance Manager,Accounting Manager,Rentokil Initial,4,8,6.0,86500
1123654154970664,5 to 14 Years,B.Com,$63K-$98K,"Washington, D.C.",USA,37,-95,115844,Paralegal,Litigation Paralegal,Huawei Technologies,5,14,9.5,80500
401943027299239,2 to 14 Years,B.Com,$57K-$118K,"Washington, D.C.",USA,37,-95,105263,Chemical Analyst,Analytical Chemist,General Dynamics,2,14,8.0,87500
1674717539718505,0 to 11 Years,BA,$64K-$120K,"Washington, D.C.",USA,37,-95,100857,SEM Specialist,SEM Analyst,Kroger,0,11,5.5,92000
902717697929673,0 to 12 Years,BCA,$63K-$126K,"Washington, D.C.",USA,37,-95,19248,Social Media Coordinator,Content Creator,CHS,0,12,6.0,94500
2011214501681124,3 to 10 Years,B.Tech,$57K-$95K,"Washington, D.C.",USA,37,-95,127342,Network Administrator,Systems Administrator,TPG Telecom,3,10,6.5,76000
1799079741867191,2 to 8 Years,B.Com,$57K-$116K,"Washington, D.C.",USA,37,-95,104132,Mechanical Designer,CAD Technician,Eversource Energy,2,8,5.0,86500
1962040854980994,2 to 12 Years,M.Com,$65K-$114K,"Washington, D.C.",USA,37,-95,93523,Legal Assistant,Paralegal,Enterprise Products Partners,2,12,7.0,89500
1072046503754477,2 to 14 Years,B.Com,$58K-$95K,"Washington, D.C.",USA,37,-95,122850,Personal Assistant,Personal Secretary,Tata Consumer Products,2,14,8.0,76500
2582945515731070,4 to 14 Years,PhD,$57K-$94K,"Washington, D.C.",USA,37,-95,104240,Account Manager,Client Relationship Manager,Pioneer Natural Resources,4,14,9.0,75500
685391880497001,0 to 13 Years,MBA,$64K-$121K,"Washington, D.C.",USA,37,-95,44657,Electrical Engineer,Electronics Hardware Engineer,Dollar General,0,13,6.5,92500
1385470581025310,2 to 13 Years,B.Com,$61K-$127K,"Washington, D.C.",USA,37,-95,109485,SEO Specialist,SEO Analyst,Masco,2,13,7.5,94000
1627015518383370,0 to 8 Years,B.Tech,$58K-$87K,"Washington, D.C.",USA,37,-95,92024,Investment Advisor,Wealth Advisor,Macquarie Group,0,8,4.0,72500
1071767435579801,4 to 12 Years,M.Tech,$59K-$113K,"Washington, D.C.",USA,37,-95,88208,Research Analyst,Data Analyst Researcher,Advance Auto Parts,4,12,8.0,86000
1854916267282693,0 to 9 Years,B.Tech,$63K-$84K,"Washington, D.C.",USA,37,-95,90806,Copywriter,SEO Copywriter,Pioneer Natural Resources,0,9,4.5,73500
1254080952240560,0 to 12 Years,PhD,$55K-$126K,"Washington, D.C.",USA,37,-95,106937,Legal Assistant,Litigation Support Specialist,Masco,0,12,6.0,90500
1905836835189202,4 to 8 Years,M.Tech,$60K-$88K,"Washington, D.C.",USA,37,-95,89244,Legal Assistant,Paralegal,Derwent London,4,8,6.0,74000
2428687893522919,0 to 10 Years,BA,$63K-$105K,"Washington, D.C.",USA,37,-95,115669,UI Developer,Front-End Developer,Reynolds American Inc.,0,10,5.0,84000
2502679392329815,2 to 14 Years,MBA,$62K-$101K,"Washington, D.C.",USA,37,-95,109774,UI Developer,Front-End Developer,DaVita,2,14,8.0,81500
14045241321764,4 to 13 Years,BBA,$56K-$127K,"Washington, D.C.",USA,37,-95,42012,Web Developer,Frontend Web Developer,Nvidia,4,13,8.5,91500
2933345388267283,5 to 10 Years,BA,$58K-$115K,"Washington, D.C.",USA,37,-95,95804,Event Planner,Corporate Event Planner,EQT,5,10,7.5,86500
2338153807675328,3 to 15 Years,MCA,$62K-$102K,"Washington, D.C.",USA,37,-95,67135,QA Engineer,QA Manager,Liberty Media,3,15,9.0,82000
2754995843306667,3 to 10 Years,PhD,$61K-$93K,"Washington, D.C.",USA,37,-95,22719,Executive Assistant,Office Manager,Bosch Limited,3,10,6.5,77000
630324729575300,2 to 15 Years,BCA,$65K-$123K,"Washington, D.C.",USA,37,-95,114544,Executive Assistant,Personal Assistant,Sinopec,2,15,8.5,94000
345703068423144,3 to 15 Years,BCA,$55K-$101K,"Washington, D.C.",USA,37,-95,126449,Market Research Analyst,Market Researcher,Best Buy,3,15,9.0,78000
1115907918785114,3 to 15 Years,M.Tech,$58K-$87K,"Washington, D.C.",USA,37,-95,70139,Project Coordinator,Administrative Coordinator,Rite Aid,3,15,9.0,72500
776567901028503,5 to 13 Years,B.Com,$63K-$92K,"Washington, D.C.",USA,37,-95,46058,Financial Controller,Finance Manager,Midea Group,5,13,9.0,77500
1773076494652873,1 to 8 Years,BBA,$65K-$104K,"Washington, D.C.",USA,37,-95,63427,Dental Hygienist,Dental Public Health Hygienist,Walmart,1,8,4.5,84500
1713667094525373,3 to 13 Years,BBA,$59K-$95K,"Washington, D.C.",USA,37,-95,15957,Customer Success Manager,Customer Support Specialist,Bosch Limited,3,13,8.0,77000
1054285507602921,4 to 10 Years,M.Tech,$57K-$86K,"Washington, D.C.",USA,37,-95,106370,Graphic Designer,Print Graphic Designer,Automatic Data Processing,4,10,7.0,71500
177982553307241,1 to 15 Years,MBA,$65K-$103K,"Washington, D.C.",USA,37,-95,29856,IT Manager,Infrastructure Manager,Parker-Hannifin,1,15,8.0,84000
2783011140386035,2 to 9 Years,B.Tech,$60K-$113K,"Washington, D.C.",USA,37,-95,95679,Legal Counsel,Employment Lawyer,Murphy USA,2,9,5.5,86500
1270747356473467,5 to 12 Years,B.Com,$61K-$86K,"Washington, D.C.",USA,37,-95,86274,SEM Specialist,SEM Analyst,"Harley-Davidson, Inc.",5,12,8.5,73500
2639853685990149,5 to 13 Years,BA,$63K-$90K,"Washington, D.C.",USA,37,-95,117795,Digital Marketing Specialist,Social Media Manager,HDFC Asset Management Company,5,13,9.0,76500
1385206386943220,5 to 10 Years,MBA,$57K-$102K,"Washington, D.C.",USA,37,-95,71307,Paralegal,Real Estate Paralegal,Tata Communications,5,10,7.5,79500
1026152428850561,1 to 10 Years,MCA,$62K-$81K,"Washington, D.C.",USA,37,-95,18624,Executive Assistant,Office Manager,HF Sinclair,1,10,5.5,71500
271055237033317,4 to 12 Years,B.Com,$56K-$94K,"Washington, D.C.",USA,37,-95,122378,Customer Service Manager,Customer Experience Strategist,Crown Holdings,4,12,8.0,75000
1999195253434093,4 to 8 Years,B.Tech,$59K-$109K,"Washington, D.C.",USA,37,-95,52004,Sales Manager,Key Account Manager,JetBlue Airways,4,8,6.0,84000
2544230050603323,1 to 9 Years,BCA,$60K-$100K,"Washington, D.C.",USA,37,-95,46440,UX/UI Designer,User Interface Designer,Petronet LNG,1,9,5.0,80000
413973090957527,2 to 9 Years,M.Com,$59K-$96K,"Washington, D.C.",USA,37,-95,59250,UI Developer,Front-End Developer,Ashtead Group,2,9,5.5,77500
214837924956876,3 to 9 Years,B.Com,$65K-$127K,"Washington, D.C.",USA,37,-95,84078,Procurement Specialist,Procurement Manager,Telstra Corporation,3,9,6.0,96000
1611247076261762,0 to 13 Years,B.Tech,$60K-$118K,"Washington, D.C.",USA,37,-95,46549,Software Engineer,DevOps Engineer,China Southern Airlines,0,13,6.5,89000
2098961089899145,1 to 9 Years,B.Tech,$62K-$121K,"Washington, D.C.",USA,37,-95,112014,Financial Controller,Accounting Controller,Graphic Packaging Holding,1,9,5.0,91500
2351495084809958,2 to 15 Years,MBA,$64K-$129K,"Washington, D.C.",USA,37,-95,19513,Market Research Analyst,Market Researcher,Paramount Global,2,15,8.5,96500
1860456463637765,3 to 9 Years,B.Com,$56K-$130K,"Washington, D.C.",USA,37,-95,88932,Software Tester,Quality Assurance Analyst,Zee Entertainment Enterprises,3,9,6.0,93000
865190301761017,1 to 10 Years,MCA,$55K-$114K,"Washington, D.C.",USA,37,-95,76947,Mechanical Designer,CAD Technician,3i Group,1,10,5.5,84500
4410397228523,4 to 13 Years,MBA,$60K-$89K,"Washington, D.C.",USA,37,-95,58444,Brand Manager,Product Brand Manager,Sempra,4,13,8.5,74500
1722506217822406,1 to 14 Years,PhD,$59K-$113K,"Washington, D.C.",USA,37,-95,71219,Procurement Manager,Procurement Analyst,Lloyds Banking Group,1,14,7.5,86000
2887318843983784,3 to 14 Years,MCA,$57K-$111K,"Washington, D.C.",USA,37,-95,95617,Marketing Specialist,Digital Marketing Specialist,Principal Financial,3,14,8.5,84000
512671109270716,5 to 8 Years,M.Com,$59K-$111K,"Washington, D.C.",USA,37,-95,96620,Aerospace Engineer,Aircraft Design Engineer,Symrise AG,5,8,6.5,85000
1006977785284548,1 to 11 Years,M.Tech,$63K-$121K,"Washington, D.C.",USA,37,-95,51951,UI Developer,UX/UI Designer,Weyerhaeuser,1,11,6.0,92000
53677858118085,1 to 14 Years,BA,$63K-$128K,"Washington, D.C.",USA,37,-95,44510,Human Resources Manager,HR Generalist,Havells India,1,14,7.5,95500
412162250545356,1 to 8 Years,B.Com,$57K-$84K,"Washington, D.C.",USA,37,-95,74201,Landscape Designer,Sustainable Landscape Specialist,Commonwealth Bank of Australia,1,8,4.5,70500
1485912078460106,5 to 12 Years,M.Tech,$65K-$125K,"Washington, D.C.",USA,37,-95,23084,Business Development Manager,Sales Manager,Royal Mail,5,12,8.5,95000
879547153141519,5 to 9 Years,BCA,$62K-$119K,"Washington, D.C.",USA,37,-95,60920,Event Planner,Event Coordinator,Admiral Group,5,9,7.0,90500
276087399421524,3 to 11 Years,BA,$57K-$122K,"Washington, D.C.",USA,37,-95,118988,Psychologist,School Psychologist,Ulta Beauty,3,11,7.0,89500
1167635474380516,1 to 11 Years,M.Tech,$57K-$93K,"Washington, D.C.",USA,37,-95,25975,Marketing Specialist,Content Marketing Manager,Cardinal Health,1,11,6.0,75000
2013432028273207,1 to 8 Years,BA,$63K-$84K,"Washington, D.C.",USA,37,-95,101301,Account Manager,Client Relationship Manager,Assurant,1,8,4.5,73500
815969840588319,5 to 11 Years,BA,$64K-$115K,"Washington, D.C.",USA,37,-95,125205,Finance Manager,Accounting Manager,MetLife,5,11,8.0,89500
2919456797996329,1 to 12 Years,B.Com,$55K-$102K,"Washington, D.C.",USA,37,-95,115396,HR Generalist,HR Coordinator,U.S. Bancorp,1,12,6.5,78500
671001192636449,2 to 8 Years,PhD,$64K-$107K,"Washington, D.C.",USA,37,-95,62465,Legal Advisor,Corporate Counsel,AT&T,2,8,5.0,85500
3029542165295218,5 to 15 Years,BBA,$65K-$107K,"Washington, D.C.",USA,37,-95,41352,Landscape Architect,Residential Landscape Designer,Brewin Dolphin,5,15,10.0,86000
2444231528221249,1 to 15 Years,BCA,$64K-$113K,"Washington, D.C.",USA,37,-95,53041,Legal Assistant,Litigation Support Specialist,Anheuser-Busch InBev SA/NV,1,15,8.0,88500
2318395605783371,4 to 13 Years,MBA,$65K-$116K,"Washington, D.C.",USA,37,-95,87654,Database Administrator,Database Security Specialist,Petrofac,4,13,8.5,90500
1792162023600421,1 to 8 Years,BBA,$61K-$109K,"Washington, D.C.",USA,37,-95,29766,Network Engineer,Network Administrator,Bajaj Holdings & Investment Limited,1,8,4.5,85000
2343182242823869,5 to 8 Years,BCA,$60K-$99K,"Washington, D.C.",USA,37,-95,74814,Legal Assistant,Legal Secretary,Netflix,5,8,6.5,79500
512108512977298,3 to 13 Years,BCA,$57K-$100K,"Washington, D.C.",USA,37,-95,96446,Business Analyst,IT Business Analyst,Reliance Steel & Aluminum,3,13,8.0,78500
516302519458662,4 to 12 Years,BBA,$59K-$118K,"Washington, D.C.",USA,37,-95,66380,Back-End Developer,API Developer,Kellogg,4,12,8.0,88500
2940728376795445,0 to 13 Years,BBA,$59K-$91K,"Washington, D.C.",USA,37,-95,85379,Sales Associate,Retail Sales Associate,DISH Network,0,13,6.5,75000
618802156888181,2 to 13 Years,MCA,$61K-$86K,"Washington, D.C.",USA,37,-95,55258,Customer Service Manager,Customer Support Manager,O'Reilly Automotive,2,13,7.5,73500
2013540909752546,5 to 8 Years,BBA,$60K-$114K,"Washington, D.C.",USA,37,-95,50481,Mechanical Engineer,Manufacturing Engineer,Ceconomy AG (Formerly Metro AG),5,8,6.5,87000
2903800910725971,4 to 8 Years,MCA,$59K-$118K,"Washington, D.C.",USA,37,-95,57468,Nurse Manager,Nursing Director,Expeditors International of Washington,4,8,6.0,88500
1197679702480952,2 to 12 Years,MBA,$57K-$111K,"Washington, D.C.",USA,37,-95,50423,Customer Service Representative,Live Chat Support Agent,Nucor,2,12,7.0,84000
2958141545709913,3 to 9 Years,BA,$57K-$80K,"Washington, D.C.",USA,37,-95,126774,Data Analyst,Business Intelligence Analyst,Merck,3,9,6.0,68500
3098283833811548,0 to 13 Years,M.Tech,$57K-$89K,"Washington, D.C.",USA,37,-95,31988,Network Security Specialist,Cybersecurity Analyst,Brighthouse Financial,0,13,6.5,73000
818838872726264,4 to 14 Years,BA,$56K-$95K,"Washington, D.C.",USA,37,-95,41956,Administrative Assistant,Executive Assistant,AbbVie,4,14,9.0,75500
1119066045161630,5 to 8 Years,B.Tech,$61K-$130K,"Washington, D.C.",USA,37,-95,84202,Customer Service Manager,Customer Experience Strategist,Deutsche Telekom AG,5,8,6.5,95500
427435203688515,3 to 8 Years,M.Tech,$58K-$94K,"Washington, D.C.",USA,37,-95,103902,Substance Abuse Counselor,Addiction Counselor,Cheniere Energy,3,8,5.5,76000
1269798450160130,5 to 9 Years,BBA,$57K-$100K,"Washington, D.C.",USA,37,-95,66607,Supply Chain Manager,Demand Planner,Ameren,5,9,7.0,78500
2584499927917822,5 to 14 Years,PhD,$56K-$125K,"Washington, D.C.",USA,37,-95,76928,Aerospace Engineer,Aircraft Design Engineer,Fiserv,5,14,9.5,90500
1271881664874320,2 to 11 Years,B.Tech,$63K-$87K,"Washington, D.C.",USA,37,-95,71053,Front-End Engineer,JavaScript Developer,Becton Dickinson,2,11,6.5,75000
1436863244969091,2 to 11 Years,MBA,$57K-$112K,"Washington, D.C.",USA,37,-95,53283,Mechanical Designer,Product Designer,W.W. Grainger,2,11,6.5,84500
2171376739452137,0 to 15 Years,M.Com,$64K-$98K,"Washington, D.C.",USA,37,-95,115299,Brand Manager,Brand Marketing Analyst,Great Wall Motors,0,15,7.5,81000
1945968849624880,5 to 8 Years,PhD,$62K-$108K,"Washington, D.C.",USA,37,-95,115106,Social Media Manager,Social Media Analyst,Aramark,5,8,6.5,85000
1538192213075038,5 to 10 Years,M.Com,$61K-$103K,"Washington, D.C.",USA,37,-95,84763,Supply Chain Analyst,Logistics Analyst,Kyndryl Holdings,5,10,7.5,82000
748963419458761,4 to 10 Years,MCA,$55K-$128K,"Washington, D.C.",USA,37,-95,102443,Architect,Sustainable Design Specialist,ServiceNow,4,10,7.0,91500
1819126376452287,3 to 9 Years,BA,$63K-$123K,"Washington, D.C.",USA,37,-95,52431,Paralegal,Litigation Paralegal,MasTec,3,9,6.0,93000
139251747546178,0 to 14 Years,MCA,$62K-$83K,"Washington, D.C.",USA,37,-95,69781,Tax Consultant,International Tax Consultant,Kroger,0,14,7.0,72500
762496419581356,0 to 8 Years,MBA,$55K-$93K,"Washington, D.C.",USA,37,-95,21018,Software Architect,Solution Architect,Dollar Tree,0,8,4.0,74000
1632184538842669,1 to 9 Years,MCA,$65K-$108K,"Washington, D.C.",USA,37,-95,60222,Research Analyst,Market Research Analyst,"Wyndham Hotels & Resorts, Inc.",1,9,5.0,86500
806887377737536,2 to 12 Years,BBA,$57K-$128K,"Washington, D.C.",USA,37,-95,78819,Purchasing Agent,Supply Chain Coordinator,Booking Holdings,2,12,7.0,92500
672026164443851,5 to 15 Years,MBA,$55K-$85K,"Washington, D.C.",USA,37,-95,31814,Teacher,Subject Matter Expert,National Grid,5,15,10.0,70000
2948217056386623,1 to 13 Years,PhD,$61K-$126K,"Washington, D.C.",USA,37,-95,21881,Executive Assistant,Project Coordinator,WEC Energy Group,1,13,7.0,93500
851952234354674,2 to 11 Years,BCA,$64K-$92K,"Washington, D.C.",USA,37,-95,120013,Tax Consultant,Business Tax Consultant,American Electric Power,2,11,6.5,78000
2254870151997784,4 to 10 Years,BCA,$55K-$102K,"Washington, D.C.",USA,37,-95,92965,Civil Engineer,Structural Engineer,Anheuser-Busch InBev SA/NV,4,10,7.0,78500
3095527437845019,1 to 14 Years,BBA,$59K-$119K,"Washington, D.C.",USA,37,-95,19207,Social Media Manager,Community Manager,China Southern Airlines,1,14,7.5,89000
2865393436554339,4 to 13 Years,MCA,$61K-$116K,"Washington, D.C.",USA,37,-95,107260,Marketing Analyst,Data Analyst,Sempra,4,13,8.5,88500
1971456694007553,1 to 14 Years,PhD,$60K-$96K,"Washington, D.C.",USA,37,-95,47673,Architectural Designer,Interior Designer,Molina Healthcare,1,14,7.5,78000
2955172352085680,5 to 13 Years,BBA,$63K-$108K,"Washington, D.C.",USA,37,-95,18503,Front-End Engineer,UI/UX Front-End Developer,Raymond James Financial,5,13,9.0,85500
2236229975521227,2 to 8 Years,BA,$62K-$113K,"Washington, D.C.",USA,37,-95,42423,Copywriter,SEO Copywriter,EnLink Midstream,2,8,5.0,87500
2036824766893258,0 to 11 Years,M.Com,$57K-$102K,"Washington, D.C.",USA,37,-95,34644,UX Researcher,User Researcher,Petrofac,0,11,5.5,79500
664150630126998,0 to 9 Years,M.Com,$56K-$123K,"Washington, D.C.",USA,37,-95,88107,Marketing Director,Brand Director,Asian Paints,0,9,4.5,89500
3020715465617895,1 to 11 Years,BA,$59K-$105K,"Washington, D.C.",USA,37,-95,65789,Network Technician,Network Support Specialist,Air Products & Chemicals,1,11,6.0,82000
1189975630904316,2 to 12 Years,M.Com,$62K-$82K,"Washington, D.C.",USA,37,-95,95761,Software Engineer,DevOps Engineer,Cognizant Technology Solutions,2,12,7.0,72000
1714899084255020,1 to 8 Years,MBA,$62K-$80K,"Washington, D.C.",USA,37,-95,60681,UX Researcher,User Researcher,GAIL (India) Limited,1,8,4.5,71000
2539405432439769,0 to 15 Years,B.Com,$59K-$97K,"Washington, D.C.",USA,37,-95,42862,UX/UI Designer,Interaction Designer,J.B. Hunt Transport Services,0,15,7.5,78000
1624046847073866,3 to 8 Years,B.Tech,$64K-$126K,"Washington, D.C.",USA,37,-95,116659,Marketing Coordinator,Digital Marketing Coordinator,Fresenius Medical Care AG & Co. KGaA,3,8,5.5,95000
3080339515706443,0 to 14 Years,BCA,$61K-$93K,"Washington, D.C.",USA,37,-95,90451,UX/UI Designer,Interaction Designer,JetBlue Airways,0,14,7.0,77000
1756515139899899,5 to 8 Years,PhD,$56K-$82K,"Washington, D.C.",USA,37,-95,14844,Customer Support Specialist,Help Desk Analyst,CNOOC (China National Offshore Oil Corporation),5,8,6.5,69000
322446658353627,5 to 8 Years,MBA,$63K-$105K,"Washington, D.C.",USA,37,-95,132246,Tax Consultant,Personal Tax Consultant,Land O'Lakes,5,8,6.5,84000
2870107226698167,3 to 9 Years,PhD,$56K-$116K,"Washington, D.C.",USA,37,-95,18355,Family Lawyer,Child Custody Lawyer,Domino's Pizza Group,3,9,6.0,86000
1790133372686378,2 to 9 Years,M.Tech,$64K-$125K,"Washington, D.C.",USA,37,-95,67213,Procurement Specialist,Procurement Manager,Allianz SE,2,9,5.5,94500
720294480700633,4 to 11 Years,MBA,$62K-$89K,"Washington, D.C.",USA,37,-95,121245,Aerospace Engineer,Avionics Engineer,DTE Energy,4,11,7.5,75500
1568219690430605,3 to 9 Years,M.Tech,$61K-$100K,"Washington, D.C.",USA,37,-95,129343,Mechanical Designer,CAD Technician,EOG Resources,3,9,6.0,80500
2576338919440094,0 to 9 Years,B.Tech,$61K-$126K,"Washington, D.C.",USA,37,-95,30665,Sales Manager,Key Account Manager,IBM (International Business Machines Corporation),0,9,4.5,93500
1622517813983783,2 to 12 Years,MCA,$65K-$89K,"Washington, D.C.",USA,37,-95,62570,Data Analyst,Data Scientist,Rightmove,2,12,7.0,77000
294602327315556,1 to 15 Years,BBA,$62K-$107K,"Washington, D.C.",USA,37,-95,108870,Dental Hygienist,Periodontal Therapist,Symrise AG,1,15,8.0,84500
2801212604612925,4 to 11 Years,BA,$57K-$113K,"Washington, D.C.",USA,37,-95,82297,Customer Success Manager,Customer Support Specialist,Tyson Foods,4,11,7.5,85000
226682003642501,1 to 11 Years,BBA,$60K-$100K,"Washington, D.C.",USA,37,-95,125845,Financial Controller,Finance Manager,Centrica,1,11,6.0,80000
191696928228129,2 to 13 Years,BCA,$60K-$89K,"Washington, D.C.",USA,37,-95,133309,Purchasing Agent,Inventory Manager,Adelaide Brighton,2,13,7.5,74500
390933674321860,0 to 12 Years,B.Tech,$59K-$110K,"Washington, D.C.",USA,37,-95,125127,Procurement Specialist,Sourcing Analyst,Insurance Australia Group (IAG),0,12,6.0,84500
1225469464419426,1 to 14 Years,BBA,$60K-$101K,"Washington, D.C.",USA,37,-95,92153,Software Tester,Quality Assurance Analyst,Electrocomponents,1,14,7.5,80500
