Job Title,Company,Job Location,Job Location City,Job Location State,Job Posting Seen,Country,Position,Job Level,Job Type,Job Skills
Data Visualization / Business Intelligence Analyst (3019),SMX,"Port Hueneme, CA",Port Hueneme,CA,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Data Visualization
Data Visualization / Business Intelligence Analyst (3019),SMX,"Port Hueneme, CA",Port Hueneme,CA,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,SQL
Data Scientist,RAND Corporation,"Washington, DC",Washington,DC,2024-01-16,United States,Geophysicist,Mid senior,Onsite,Data Science
Senior Data Architect,UK Health Security Agency,"National, MD",National,MD,2024-01-15,United States,Copy Holder,Mid senior,Onsite,Data Analysis
Senior Data Architect,UK Health Security Agency,"National, MD",National,MD,2024-01-15,United States,Copy Holder,Mid senior,Onsite,AWS
"Senior Data Engineer, Public Company",Recruiting from Scratch,"West Lafayette, IN",West Lafayette,IN,2024-01-14,United States,Computer Operator,Mid senior,Onsite,Python
"Senior Data Engineer, Public Company",Recruiting from Scratch,"West Lafayette, IN",West Lafayette,IN,2024-01-14,United States,Computer Operator,Mid senior,Onsite,Data Engineering
"Senior Data Engineer, Public Company",Recruiting from Scratch,"West Lafayette, IN",West Lafayette,IN,2024-01-14,United States,Computer Operator,Mid senior,Onsite,Data Science
"Senior Data Engineer, Public Company",Recruiting from Scratch,"West Lafayette, IN",West Lafayette,IN,2024-01-14,United States,Computer Operator,Mid senior,Onsite,SQL
Senior ML Engineer,CyberCoders,"Santa Clara, CA",Santa Clara,CA,2024-01-14,United States,Electronics-Test Engineer,Mid senior,Onsite,Python
"Director, Ontology and Data Modeling",Jobs for Humanity,"Richmond, VA",Richmond,VA,2024-01-15,United States,Director Translation,Mid senior,Onsite,Python
"Director, Ontology and Data Modeling",Jobs for Humanity,"Richmond, VA",Richmond,VA,2024-01-15,United States,Director Translation,Mid senior,Onsite,SQL
"Director, Ontology and Data Modeling",Jobs for Humanity,"Richmond, VA",Richmond,VA,2024-01-15,United States,Director Translation,Mid senior,Onsite,Project Management
Sr. Data Scientist,ANSER,"Washington, DC",Washington,DC,2024-01-14,United States,Chemist,Mid senior,Onsite,Data Engineering
Sr. Data Scientist,ANSER,"Washington, DC",Washington,DC,2024-01-14,United States,Chemist,Mid senior,Onsite,Machine Learning
Sr. Data Scientist,ANSER,"Washington, DC",Washington,DC,2024-01-14,United States,Chemist,Mid senior,Onsite,Data Visualization
Sr. Data Scientist,ANSER,"Washington, DC",Washington,DC,2024-01-14,United States,Chemist,Mid senior,Onsite,Tableau
Sr. Data Scientist,ANSER,"Washington, DC",Washington,DC,2024-01-14,United States,Chemist,Mid senior,Onsite,Python
Sr. Data Scientist,ANSER,"Washington, DC",Washington,DC,2024-01-14,United States,Chemist,Mid senior,Onsite,SQL
Sr Analyst IT - Data Science,Reynolds American Inc.,"Winston-Salem, NC",Winston-Salem,NC,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Data Analysis
Sr Analyst IT - Data Science,Reynolds American Inc.,"Winston-Salem, NC",Winston-Salem,NC,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Machine Learning
Sr Analyst IT - Data Science,Reynolds American Inc.,"Winston-Salem, NC",Winston-Salem,NC,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Python
Sr Analyst IT - Data Science,Reynolds American Inc.,"Winston-Salem, NC",Winston-Salem,NC,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,SQL
Sr Analyst IT - Data Science,Reynolds American Inc.,"Winston-Salem, NC",Winston-Salem,NC,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Data Science
"Distinguished Engineer, Card Tech Data (Remote-Elligble)",Jobs for Humanity,"Boston, MA",Boston,MA,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Data Engineering
"Staff Data Scientist, Financial Strategy",Stripe,"Seattle, WA",Seattle,WA,2024-01-16,United States,Geophysicist,Mid senior,Onsite,Data Science
Data Engineering Manager - San Antonio,Argo Group,"San Antonio, TX",San Antonio,TX,2024-01-15,United States,Electrical-Installation Supervisor,Mid senior,Onsite,Data Engineering
Data Engineering Manager - San Antonio,Argo Group,"San Antonio, TX",San Antonio,TX,2024-01-15,United States,Electrical-Installation Supervisor,Mid senior,Onsite,Project Management
Data Engineering Manager - San Antonio,Argo Group,"San Antonio, TX",San Antonio,TX,2024-01-15,United States,Electrical-Installation Supervisor,Mid senior,Onsite,SQL
Data Engineering Manager - San Antonio,Argo Group,"San Antonio, TX",San Antonio,TX,2024-01-15,United States,Electrical-Installation Supervisor,Mid senior,Onsite,AWS
Data Engineering Manager - San Antonio,Argo Group,"San Antonio, TX",San Antonio,TX,2024-01-15,United States,Electrical-Installation Supervisor,Mid senior,Onsite,Python
Data Engineering Manager - San Antonio,Argo Group,"San Antonio, TX",San Antonio,TX,2024-01-15,United States,Electrical-Installation Supervisor,Mid senior,Onsite,Machine Learning
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Georgia, United States",Georgia,United States,2024-01-14,United States,Tumor Registrar,Mid senior,Onsite,SQL
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Georgia, United States",Georgia,United States,2024-01-14,United States,Tumor Registrar,Mid senior,Onsite,Python
Superintendent - Data Center - Indianapolis,Michael Page,"Indianapolis, IN",Indianapolis,IN,2024-01-14,United States,Superintendent Local,Mid senior,Onsite,Project Management
Sr. Data Engineer,Experfy,"Houston, TX",Houston,TX,2024-01-13,United States,Computer Systems Hardware Analyst,Mid senior,Onsite,Python
Sr. Data Engineer,Experfy,"Houston, TX",Houston,TX,2024-01-13,United States,Computer Systems Hardware Analyst,Mid senior,Onsite,SQL
RA/QA Post Market Data Analyst,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting","California, United States",California,United States,2024-01-14,United States,Job Analyst,Associate,Onsite,SQL
RA/QA Post Market Data Analyst,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting","California, United States",California,United States,2024-01-14,United States,Job Analyst,Associate,Onsite,Tableau
RA/QA Post Market Data Analyst,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting","California, United States",California,United States,2024-01-14,United States,Job Analyst,Associate,Onsite,Data Visualization
RA/QA Post Market Data Analyst,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting","California, United States",California,United States,2024-01-14,United States,Job Analyst,Associate,Onsite,Data Analysis
"Sales Representative, CoStar Data & Analytics - Washington D.C.",CoStar Group,"Washington, DC",Washington,DC,2024-01-14,United States,Sales Representative,Mid senior,Onsite,Data Analysis
Data Warehouse Analyst,Elevance Health,"Arlington, VA",Arlington,VA,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Data Analysis
Data Warehouse Analyst,Elevance Health,"Arlington, VA",Arlington,VA,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,Tableau
Data Warehouse Analyst,Elevance Health,"Arlington, VA",Arlington,VA,2024-01-14,United States,Data Entry Clerk,Mid senior,Onsite,SQL
Data Manager,Yale University,"New Haven, CT",New Haven,CT,2024-01-14,United States,Model,Mid senior,Onsite,Data Visualization
Data Analyst,Quantum World Technologies Inc.,"Mountain View, CA",Mountain View,CA,2024-01-16,United States,Operations-Research Analyst,Mid senior,Onsite,SQL
Data Analyst,Quantum World Technologies Inc.,"Mountain View, CA",Mountain View,CA,2024-01-16,United States,Operations-Research Analyst,Mid senior,Onsite,Tableau
Data Analyst,Quantum World Technologies Inc.,"Mountain View, CA",Mountain View,CA,2024-01-16,United States,Operations-Research Analyst,Mid senior,Onsite,Data Visualization
Data Analyst,Quantum World Technologies Inc.,"Mountain View, CA",Mountain View,CA,2024-01-16,United States,Operations-Research Analyst,Mid senior,Onsite,Data Analysis
Sr. Data Engineer (Hybrid),Jobs for Humanity,"Paris, TX",Paris,TX,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Python
Sr. Data Engineer (Hybrid),Jobs for Humanity,"Paris, TX",Paris,TX,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,SQL
Supply Chain Data Analyst,DENSO,"Maryville, TN",Maryville,TN,2024-01-16,United States,Mathematician,Mid senior,Onsite,Data Engineering
Supply Chain Data Analyst,DENSO,"Maryville, TN",Maryville,TN,2024-01-16,United States,Mathematician,Mid senior,Onsite,Data Analysis
Supply Chain Data Analyst,DENSO,"Maryville, TN",Maryville,TN,2024-01-16,United States,Mathematician,Mid senior,Onsite,Python
Supply Chain Data Analyst,DENSO,"Maryville, TN",Maryville,TN,2024-01-16,United States,Mathematician,Mid senior,Onsite,SQL
Data Steward - Research Analysis Spec Sr,State of Minnesota,"Alexandria, MN",Alexandria,MN,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Data Analysis
Data Steward - Research Analysis Spec Sr,State of Minnesota,"Alexandria, MN",Alexandria,MN,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,SQL
Data Steward - Research Analysis Spec Sr,State of Minnesota,"Alexandria, MN",Alexandria,MN,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Tableau
Data Steward - Research Analysis Spec Sr,State of Minnesota,"Alexandria, MN",Alexandria,MN,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Python
Data Steward - Research Analysis Spec Sr,State of Minnesota,"Alexandria, MN",Alexandria,MN,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Data Science
Data Steward - Research Analysis Spec Sr,State of Minnesota,"Alexandria, MN",Alexandria,MN,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Project Management
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Texas, United States",Texas,United States,2024-01-16,United States,Mathematician,Mid senior,Onsite,Data Visualization
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Texas, United States",Texas,United States,2024-01-16,United States,Mathematician,Mid senior,Onsite,SQL
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Texas, United States",Texas,United States,2024-01-16,United States,Mathematician,Mid senior,Onsite,Python
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Texas, United States",Texas,United States,2024-01-16,United States,Mathematician,Mid senior,Onsite,Project Management
Data Coordinator,Cottingham & Butler,"Pittsburgh, PA",Pittsburgh,PA,2024-01-15,United States,Butler,Associate,Onsite,Data Analysis
"Senior Manager, Machine Learning Engineering",ClickJobs.io,"Hartford, CT",Hartford,CT,2024-01-14,United States,Manager Records Analysis,Mid senior,Onsite,Machine Learning
"Senior Manager, Machine Learning Engineering",ClickJobs.io,"Hartford, CT",Hartford,CT,2024-01-14,United States,Manager Records Analysis,Mid senior,Onsite,Data Engineering
"Senior Manager, Machine Learning Engineering",ClickJobs.io,"Hartford, CT",Hartford,CT,2024-01-14,United States,Manager Records Analysis,Mid senior,Onsite,Python
"Senior Manager, Machine Learning Engineering",ClickJobs.io,"Hartford, CT",Hartford,CT,2024-01-14,United States,Manager Records Analysis,Mid senior,Onsite,SQL
"Senior Manager, Machine Learning Engineering",ClickJobs.io,"Hartford, CT",Hartford,CT,2024-01-14,United States,Manager Records Analysis,Mid senior,Onsite,AWS
Data Engineer,Jobs for Humanity,"Hartford, CT",Hartford,CT,2024-01-17,United States,Tool-And-Die Supervisor,Mid senior,Onsite,SQL
Data Engineer,Jobs for Humanity,"Hartford, CT",Hartford,CT,2024-01-17,United States,Tool-And-Die Supervisor,Mid senior,Onsite,Python
Senior Machine Learning Engineer,Jobs for Humanity,"Fredericksburg, VA",Fredericksburg,VA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Machine Learning
Senior Machine Learning Engineer,Jobs for Humanity,"Fredericksburg, VA",Fredericksburg,VA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Python
Senior Machine Learning Engineer,Jobs for Humanity,"Fredericksburg, VA",Fredericksburg,VA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,AWS
Senior Machine Learning Engineer,Jobs for Humanity,"Fredericksburg, VA",Fredericksburg,VA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Data Science
Audit Manager - Data/Tech (BSA/AML including Sanctions),Bank of America,"Charlotte, NC",Charlotte,NC,2024-01-15,United States,Accountant Systems,Mid senior,Onsite,AWS
Audit Manager - Data/Tech (BSA/AML including Sanctions),Bank of America,"Charlotte, NC",Charlotte,NC,2024-01-15,United States,Accountant Systems,Mid senior,Onsite,Data Analysis
Business Data Analyst - III (701569),The Judge Group,"Temple Terrace, FL",Temple Terrace,FL,2024-01-14,United States,Data Communications Analyst,Mid senior,Onsite,SQL
Business Data Analyst - III (701569),The Judge Group,"Temple Terrace, FL",Temple Terrace,FL,2024-01-14,United States,Data Communications Analyst,Mid senior,Onsite,Data Science
Business Data Analyst - III (701569),The Judge Group,"Temple Terrace, FL",Temple Terrace,FL,2024-01-14,United States,Data Communications Analyst,Mid senior,Onsite,Data Analysis
"Data Center Project Manager, US-West CPI",Amazon Web Services (AWS),"Umatilla, OR",Umatilla,OR,2024-01-14,United States,Manager Records Analysis,Mid senior,Onsite,Project Management
Clinical Data Steward,Steneral Consulting,"Bloomfield, CT",Bloomfield,CT,2024-01-14,United States,Steward/Stewardess,Mid senior,Onsite,SQL
Clinical Data Steward,Steneral Consulting,"Bloomfield, CT",Bloomfield,CT,2024-01-14,United States,Steward/Stewardess,Mid senior,Onsite,Python
Clinical Data Steward,Steneral Consulting,"Bloomfield, CT",Bloomfield,CT,2024-01-14,United States,Steward/Stewardess,Mid senior,Onsite,Tableau
Senior Full-Stack Machine Learning Engineer- OPTIX,GA-CCRi,"Charlottesville, VA",Charlottesville,VA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Machine Learning
Senior Full-Stack Machine Learning Engineer- OPTIX,GA-CCRi,"Charlottesville, VA",Charlottesville,VA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Data Visualization
Senior Full-Stack Machine Learning Engineer- OPTIX,GA-CCRi,"Charlottesville, VA",Charlottesville,VA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Python
Senior Data Analysis Engineer,Nikola Corporation,"Phoenix, AZ",Phoenix,AZ,2024-01-14,United States,Data Base Administrator,Mid senior,Onsite,Data Visualization
Senior Data Analysis Engineer,Nikola Corporation,"Phoenix, AZ",Phoenix,AZ,2024-01-14,United States,Data Base Administrator,Mid senior,Onsite,SQL
Technical Data Engineering Manager,SRS Distribution Inc.,"McKinney, TX",McKinney,TX,2024-01-15,United States,Chief Engineer,Mid senior,Onsite,Python
Technical Data Engineering Manager,SRS Distribution Inc.,"McKinney, TX",McKinney,TX,2024-01-15,United States,Chief Engineer,Mid senior,Onsite,SQL
Technical Data Engineering Manager,SRS Distribution Inc.,"McKinney, TX",McKinney,TX,2024-01-15,United States,Chief Engineer,Mid senior,Onsite,Project Management
"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,"Cincinnati, OH",Cincinnati,OH,2024-01-14,United States,Test Fixture Designer,Mid senior,Onsite,Machine Learning
"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,"Cincinnati, OH",Cincinnati,OH,2024-01-14,United States,Test Fixture Designer,Mid senior,Onsite,Python
Contractor - Epic Clarity Data Analyst,Deloitte,"New York, United States",New York,United States,2024-01-15,United States,Actuary,Mid senior,Onsite,SQL
Contractor - Epic Clarity Data Analyst,Deloitte,"New York, United States",New York,United States,2024-01-15,United States,Actuary,Mid senior,Onsite,Python
Senior People Data Scientist,Atlassian,"San Francisco, CA",San Francisco,CA,2024-01-16,United States,Mathematician,Mid senior,Onsite,Python
Senior People Data Scientist,Atlassian,"San Francisco, CA",San Francisco,CA,2024-01-16,United States,Mathematician,Mid senior,Onsite,SQL
IT- Data Lifecycle Manager,LaBella Associates,"Poughkeepsie, NY",Poughkeepsie,NY,2024-01-16,United States,Folder,Mid senior,Onsite,AWS
Senior Machine Learning Engineer,Jobs for Humanity,"Waco, TX",Waco,TX,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Machine Learning
Senior Machine Learning Engineer,Jobs for Humanity,"Waco, TX",Waco,TX,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Python
Senior Machine Learning Engineer,Jobs for Humanity,"Waco, TX",Waco,TX,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,AWS
NCDHHS- Health Informatics Data Analyst,NR Consulting,"North Carolina, United States",North Carolina,United States,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Data Analysis
NCDHHS- Health Informatics Data Analyst,NR Consulting,"North Carolina, United States",North Carolina,United States,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Data Visualization
NCDHHS- Health Informatics Data Analyst,NR Consulting,"North Carolina, United States",North Carolina,United States,2024-01-15,United States,Data Communications Technician,Mid senior,Onsite,Project Management
Senior Battery Data Scientist,Factorial Energy,"Billerica, MA",Billerica,MA,2024-01-15,United States,Biochemist,Mid senior,Onsite,Machine Learning
Senior Battery Data Scientist,Factorial Energy,"Billerica, MA",Billerica,MA,2024-01-15,United States,Biochemist,Mid senior,Onsite,Python
"Lead Machine Learning Engineer (Bangkok based, relocation provided)",Agoda,"Oakland, CA",Oakland,CA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,SQL
"Lead Machine Learning Engineer (Bangkok based, relocation provided)",Agoda,"Oakland, CA",Oakland,CA,2024-01-14,United States,Agricultural-Research Engineer,Mid senior,Onsite,Machine Learning
Principal Machine Learning Engineer,Baker Hughes,"Austin, TX",Austin,TX,2024-01-15,United States,Baker,Mid senior,Onsite,Machine Learning
Principal Machine Learning Engineer,Baker Hughes,"Austin, TX",Austin,TX,2024-01-15,United States,Baker,Mid senior,Onsite,Python
Principal Machine Learning Engineer,Baker Hughes,"Austin, TX",Austin,TX,2024-01-15,United States,Baker,Mid senior,Onsite,Data Visualization
Lead Data Scientist,Infosys,"Phoenix, AZ",Phoenix,AZ,2024-01-14,United States,Microbiologist,Mid senior,Onsite,Machine Learning
Lead Data Scientist,Infosys,"Phoenix, AZ",Phoenix,AZ,2024-01-14,United States,Microbiologist,Mid senior,Onsite,Python
TT Assistant Professor - Data Science,University of New Haven,"West Haven, CT",West Haven,CT,2024-01-14,United States,Instructor,Mid senior,Onsite,Data Science
TT Assistant Professor - Data Science,University of New Haven,"West Haven, CT",West Haven,CT,2024-01-14,United States,Instructor,Mid senior,Onsite,Data Engineering
TT Assistant Professor - Data Science,University of New Haven,"West Haven, CT",West Haven,CT,2024-01-14,United States,Instructor,Mid senior,Onsite,Data Visualization
TT Assistant Professor - Data Science,University of New Haven,"West Haven, CT",West Haven,CT,2024-01-14,United States,Instructor,Mid senior,Onsite,Machine Learning
"Senior Manager, Machine Learning Engineering",Jobs for Humanity,"Harrisonburg, VA",Harrisonburg,VA,2024-01-14,United States,Vendor,Mid senior,Onsite,Machine Learning
"Senior Manager, Machine Learning Engineering",Jobs for Humanity,"Harrisonburg, VA",Harrisonburg,VA,2024-01-14,United States,Vendor,Mid senior,Onsite,Data Engineering
"Senior Manager, Machine Learning Engineering",Jobs for Humanity,"Harrisonburg, VA",Harrisonburg,VA,2024-01-14,United States,Vendor,Mid senior,Onsite,Python
"Senior Manager, Machine Learning Engineering",Jobs for Humanity,"Harrisonburg, VA",Harrisonburg,VA,2024-01-14,United States,Vendor,Mid senior,Onsite,AWS
